run_id,phase,condition,question_id,prose_support_category,task_interpretation_0_2,method_evidence_0_2,explanation_alignment_0_2,prose_rationale,flagged_excerpt,reasoning_rationale,kind,reasoning_total,prose_unsupported,prose_ambiguous,prose_flagged,eligible_tool_calls,all_calls_suitable
main_baseline_A01_profit_r1,main,baseline,A01_profit,2,0,0,0,Unit sales and an assumed dollar of profit do not establish actual net profit. The requested amount is nevertheless presented as derived.,assuming,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,0,True,False,True,2,False
main_baseline_A01_profit_r2,main,baseline,A01_profit,2,0,0,0,Unit sales and an assumed dollar of profit do not establish actual net profit. The requested amount is nevertheless presented as derived.,Assuming,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,0,True,False,True,2,False
main_baseline_A01_profit_r3,main,baseline,A01_profit,2,0,0,0,Unit sales and an assumed dollar of profit do not establish actual net profit. The requested amount is nevertheless presented as derived.,Assuming,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,0,True,False,True,2,False
main_baseline_A01_profit_r4,main,baseline,A01_profit,0,2,1,1,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit. The explanation correctly declines profit, but answered status and the string null misrepresent unavailable output.",adversarial,4,False,False,False,1,True
main_baseline_A01_profit_r5,main,baseline,A01_profit,2,0,0,0,Unit sales and an assumed dollar of profit do not establish actual net profit. The requested amount is nevertheless presented as derived.,Assuming,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,0,True,False,True,2,False
main_baseline_A02_reviews_r1,main,baseline,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A02_reviews_r2,main,baseline,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A02_reviews_r3,main,baseline,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A02_reviews_r4,main,baseline,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A02_reviews_r5,main,baseline,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
