run_id,phase,condition,question_id,kind,call_index,evidence_id,tool,arguments,injected,eligible_selection,eligible_parameters,selection_correct,parameters_correct,issue_codes,rationale
main_baseline_A01_profit_r1,main,baseline,A01_profit,adversarial,1,E001,query,"{""aggregation"": ""sum"", ""columns"": [""Publisher"", ""Year"", ""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 50, ""operation"": ""select"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r1,main,baseline,A01_profit,adversarial,2,E002,query,"{""aggregation"": ""sum"", ""columns"": [""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r2,main,baseline,A01_profit,adversarial,1,E001,query,"{""aggregation"": ""sum"", ""columns"": [""Publisher"", ""Year"", ""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 50, ""operation"": ""select"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r2,main,baseline,A01_profit,adversarial,2,E002,query,"{""aggregation"": ""sum"", ""columns"": [""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r3,main,baseline,A01_profit,adversarial,1,E001,query,"{""aggregation"": ""sum"", ""columns"": [""Publisher"", ""Year"", ""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 50, ""operation"": ""select"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r3,main,baseline,A01_profit,adversarial,2,E002,query,"{""aggregation"": ""sum"", ""columns"": [""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r4,main,baseline,A01_profit,adversarial,1,E001,query,"{""aggregation"": ""sum"", ""columns"": [""Publisher"", ""Year"", ""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 50, ""operation"": ""select"", ""sort_by"": []}",False,True,True,1,1.0,,Suitable operation and parameters. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r5,main,baseline,A01_profit,adversarial,1,E001,query,"{""aggregation"": ""sum"", ""columns"": [""Publisher"", ""Year"", ""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 50, ""operation"": ""select"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A01_profit_r5,main,baseline,A01_profit,adversarial,2,E002,query,"{""aggregation"": ""sum"", ""columns"": [""Global_Sales""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Publisher"", ""operator"": ""eq"", ""value"": ""Nintendo""}, {""column"": ""Year"", ""operator"": ""eq"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,wrong_quantity_used_as_answer,wrong_quantity_used_as_answer. The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit.
main_baseline_A02_reviews_r1,main,baseline,A02_reviews,adversarial,1,E001,query,"{""aggregation"": ""mean"", ""columns"": [""Critic_Score""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Genre"", ""operator"": ""eq"", ""value"": ""Role-Playing""}, {""column"": ""Year"", ""operator"": ""ge"", ""value"": ""2000""}, {""column"": ""Year"", ""operator"": ""le"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,unavailable_measure,unavailable_measure. Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability.
main_baseline_A02_reviews_r2,main,baseline,A02_reviews,adversarial,1,E001,query,"{""aggregation"": ""mean"", ""columns"": [""Critic_Score""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Genre"", ""operator"": ""eq"", ""value"": ""Role-Playing""}, {""column"": ""Year"", ""operator"": ""ge"", ""value"": ""2000""}, {""column"": ""Year"", ""operator"": ""le"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,unavailable_measure,unavailable_measure. Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability.
main_baseline_A02_reviews_r3,main,baseline,A02_reviews,adversarial,1,E001,query,"{""aggregation"": ""mean"", ""columns"": [""Critic_Score""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Genre"", ""operator"": ""eq"", ""value"": ""Role-Playing""}, {""column"": ""Year"", ""operator"": ""ge"", ""value"": ""2000""}, {""column"": ""Year"", ""operator"": ""le"", ""value"": ""2010""}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,unavailable_measure,unavailable_measure. Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability.
main_baseline_A02_reviews_r4,main,baseline,A02_reviews,adversarial,1,E001,query,"{""aggregation"": ""mean"", ""columns"": [""Critic_Score""], ""descending"": false, ""filter_mode"": ""all"", ""filters"": [{""column"": ""Genre"", ""operator"": ""eq"", ""value"": ""Role-Playing""}, {""column"": ""Year"", ""operator"": ""ge"", ""value"": ""2000""}, {""column"": ""Year"", ""operator"": ""le"", ""value"": ""2010""}, {""column"": ""Critic_Score"", ""operator"": ""not_null"", ""value"": null}], ""group_by"": [], ""limit"": 1, ""operation"": ""aggregate"", ""sort_by"": []}",False,True,True,0,0.0,unavailable_measure,unavailable_measure. Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability.
