run_id,phase,condition,question_id,kind,replication,status,valid_contract,accuracy,completeness,factual_error,task_success,unsupported_structured_claim,false_refusal,chart_requested,chart_returned,chart_correct,evidence_valid,validator_repairs,validator_blocked,first_candidate_evidence_valid,tool_selection_policy_met,tool_calls,noninjected_tool_calls,successful_noninjected_calls,failed_tool_calls,failure_injected,recovered_after_injection,observable_method_description_present,operational_failure,latency_s,cost_usd,input_tokens,output_tokens,values_json,evidence_issues
main_prompt_Q03_release_year_r5,main,prompt,Q03_release_year,answerable,5,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,9.921367292001378,0.0024508000000000004,7047,322,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_verified_Q03_release_year_r5,main,verified,Q03_release_year,answerable,5,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,8.863971874990966,0.0024492000000000003,7047,321,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_baseline_Q03_release_year_r5,main,baseline,Q03_release_year,answerable,5,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,6.781112208031118,0.0025472,6428,321,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_prompt_Q04_regions_r3,main,prompt,Q04_regions,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,7.979269083007239,0.0020016,4624,359,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_verified_Q04_regions_r3,main,verified,Q04_regions,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.46044183394406,0.0020528,4624,391,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_baseline_Q04_regions_r3,main,baseline,Q04_regions,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.292732457979582,0.0018892000000000002,4175,377,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_prompt_A01_profit_r2,main,prompt,A01_profit,adversarial,2,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,9.029494417016394,0.0018320000000000003,4748,270,"{""net_profit_usd"": null}",[]
main_baseline_A01_profit_r2,main,baseline,A01_profit,adversarial,2,answered,True,,1.0,,False,True,,False,,,False,0,False,False,True,2,2,2,0,False,,True,False,4.77142104197992,0.0017100000000000001,4283,286,"{""net_profit_usd"": ""610700000""}","[""net_profit_usd: Asserted value does not match referenced data""]"
main_verified_A01_profit_r2,main,verified,A01_profit,adversarial,2,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,4.259266457986087,0.0017808000000000001,4748,238,"{""net_profit_usd"": null}",[]
main_verified_Q04_regions_r4,main,verified,Q04_regions,answerable,4,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.545978249981999,0.0020076,4623,363,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_prompt_Q04_regions_r4,main,prompt,Q04_regions,answerable,4,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.16324483405333,0.0020656000000000003,4624,399,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
